category_id,category_name,year,current_year_depreciation,accumulated_depreciation_year_end,variance_check
1724,KITCHEN EQUIPMENTS,2020,70827.46,2284842.81,0.00
1724,KITCHEN EQUIPMENTS,2021,68911.81,2353754.62,0.00
1724,KITCHEN EQUIPMENTS,2022,66822.17,2420576.79,0.00
1724,KITCHEN EQUIPMENTS,2023,57362.70,2477939.49,0.00
1724,KITCHEN EQUIPMENTS,2024,84986.64,2562926.13,0.00
1724,KITCHEN EQUIPMENTS,2025,138493.23,2701419.36,0.00
1725,MEP ASSETS,2013,0.00,0.00,0.00
1725,MEP ASSETS,2014,773006.23,773006.23,0.00
1725,MEP ASSETS,2015,853283.47,1626289.70,0.00
1725,MEP ASSETS,2016,869507.89,2495797.59,0.00
1725,MEP ASSETS,2017,923097.92,3418895.51,0.00
1725,MEP ASSETS,2018,989076.76,4407972.27,0.00
1725,MEP ASSETS,2019,1074327.87,5482300.14,0.00
1725,MEP ASSETS,2020,1120273.55,6602573.69,0.00
1725,MEP ASSETS,2021,405139.61,7007713.30,0.00
1725,MEP ASSETS,2022,342445.09,7350158.39,0.00
1725,MEP ASSETS,2023,352519.87,7702678.26,0.00
1725,MEP ASSETS,2024,369680.63,8072358.89,0.00
1725,MEP ASSETS,2025,334958.50,8407317.39,0.00
1726,MOTOR VEHICLES,2013,0.00,0.00,0.00
1726,MOTOR VEHICLES,2014,65036.23,65036.23,0.00
1726,MOTOR VEHICLES,2015,103369.19,168405.42,0.00
1726,MOTOR VEHICLES,2016,103652.41,272057.83,0.00
1726,MOTOR VEHICLES,2017,103369.19,375427.02,0.00
1726,MOTOR VEHICLES,2018,103369.21,478796.23,0.00
1726,MOTOR VEHICLES,2019,38403.77,517200.00,0.00
1726,MOTOR VEHICLES,2020,0.00,517200.00,0.00
1726,MOTOR VEHICLES,2021,0.00,517200.00,0.00
1726,MOTOR VEHICLES,2022,37547.14,554747.14,0.00
1726,MOTOR VEHICLES,2023,50017.17,604764.31,0.00
1726,MOTOR VEHICLES,2024,50154.20,654918.51,0.00
1726,MOTOR VEHICLES,2025,50017.17,704935.68,0.00
